SETTLEMENTDATE,RRP,DAYTYPE,MONTH,HOUR,YEAR,DAY
2022-01-16 06:00,38.75416667,0,1,7,2022,16
2022-01-16 07:00,10.73083333,0,1,8,2022,16
2022-01-16 08:00,35.25333333,0,1,9,2022,16
2022-01-16 09:00,57.54083333,0,1,10,2022,16
2022-01-16 10:00,54.635,0,1,11,2022,16
2022-01-16 11:00,27.02,0,1,12,2022,16
2022-01-16 12:00,61.22666667,0,1,13,2022,16
2022-01-16 13:00,67.47416667,0,1,14,2022,16
2022-01-16 14:00,69.465,0,1,15,2022,16
2022-01-16 15:00,76.73916667,0,1,16,2022,16
2022-01-16 16:00,82.45083333,0,1,17,2022,16
2022-01-16 17:00,98.10166667,0,1,18,2022,16
2022-01-16 18:00,105.8358333,0,1,19,2022,16
2022-01-16 19:00,85.84833333,0,1,20,2022,16
2022-01-16 20:00,76.45083333,0,1,21,2022,16
2022-01-16 21:00,74.26833333,0,1,22,2022,16
2022-01-16 22:00,76.93083333,0,1,23,2022,16
2022-01-16 23:00,75.84916667,0,1,24,2022,16
2022-01-17 00:00,76.67416667,1,1,1,2022,17
2022-01-17 01:00,68.34583333,1,1,2,2022,17
2022-01-17 02:00,64.75916667,1,1,3,2022,17
2022-01-17 03:00,67.01916667,1,1,4,2022,17
2022-01-17 04:00,75.5325,1,1,5,2022,17
2022-01-17 05:00,77.35833333,1,1,6,2022,17
2022-01-17 06:00,84.69583333,1,1,7,2022,17
2022-01-17 07:00,82.98666667,1,1,8,2022,17
2022-01-17 08:00,84.48833333,1,1,9,2022,17
2022-01-17 09:00,81.265,1,1,10,2022,17
2022-01-17 10:00,76.2,1,1,11,2022,17
2022-01-17 11:00,78.4975,1,1,12,2022,17
2022-01-17 12:00,78.64583333,1,1,13,2022,17
2022-01-17 13:00,87.86,1,1,14,2022,17
2022-01-17 14:00,120.1308333,1,1,15,2022,17
2022-01-17 15:00,110.69,1,1,16,2022,17
2022-01-17 16:00,80.2175,1,1,17,2022,17
2022-01-17 17:00,67.83583333,1,1,18,2022,17
2022-01-17 18:00,66.385,1,1,19,2022,17
2022-01-17 19:00,74.10166667,1,1,20,2022,17
2022-01-17 20:00,79.99,1,1,21,2022,17
2022-01-17 21:00,84.04916667,1,1,22,2022,17
2022-01-17 22:00,80.3575,1,1,23,2022,17
2022-01-17 23:00,81.32583333,1,1,24,2022,17
2022-01-18 00:00,85.83583333,1,1,1,2022,18
2022-01-18 01:00,81.14916667,1,1,2,2022,18
2022-01-18 02:00,76.66833333,1,1,3,2022,18
2022-01-18 03:00,80.615,1,1,4,2022,18
2022-01-18 04:00,80.09416667,1,1,5,2022,18
2022-01-18 05:00,82.45333333,1,1,6,2022,18
2022-01-18 06:00,81.185,1,1,7,2022,18
2022-01-18 07:00,82.58583333,1,1,8,2022,18
2022-01-18 08:00,87.325,1,1,9,2022,18
2022-01-18 09:00,87.21583333,1,1,10,2022,18
2022-01-18 10:00,78.45083333,1,1,11,2022,18
2022-01-18 11:00,79.9925,1,1,12,2022,18
2022-01-18 12:00,75.4625,1,1,13,2022,18
2022-01-18 13:00,74.385,1,1,14,2022,18
2022-01-18 14:00,76.16083333,1,1,15,2022,18
2022-01-18 15:00,63.5425,1,1,16,2022,18
2022-01-18 16:00,64.23916667,1,1,17,2022,18
2022-01-18 17:00,63.28416667,1,1,18,2022,18
2022-01-18 18:00,65.155,1,1,19,2022,18
2022-01-18 19:00,66.79583333,1,1,20,2022,18
2022-01-18 20:00,63.94833333,1,1,21,2022,18
2022-01-18 21:00,64.67583333,1,1,22,2022,18
2022-01-18 22:00,65.36583333,1,1,23,2022,18
2022-01-18 23:00,65.36833333,1,1,24,2022,18
2022-01-19 00:00,63.33666667,1,1,1,2022,19
2022-01-19 01:00,56.94333333,1,1,2,2022,19
2022-01-19 02:00,54.97083333,1,1,3,2022,19
2022-01-19 03:00,54.99833333,1,1,4,2022,19
2022-01-19 04:00,64.99333333,1,1,5,2022,19
2022-01-19 05:00,66.30333333,1,1,6,2022,19
2022-01-19 06:00,69.13666667,1,1,7,2022,19
2022-01-19 07:00,75.18,1,1,8,2022,19
2022-01-19 08:00,75.4125,1,1,9,2022,19
2022-01-19 09:00,69.77583333,1,1,10,2022,19
2022-01-19 10:00,66.3125,1,1,11,2022,19
2022-01-19 11:00,54.8025,1,1,12,2022,19
2022-01-19 12:00,44.14666667,1,1,13,2022,19
2022-01-19 13:00,23.9175,1,1,14,2022,19
2022-01-19 14:00,46.18666667,1,1,15,2022,19
2022-01-19 15:00,41.69833333,1,1,16,2022,19
2022-01-19 16:00,27.08666667,1,1,17,2022,19
2022-01-19 17:00,37.1675,1,1,18,2022,19
2022-01-19 18:00,53.67666667,1,1,19,2022,19
2022-01-19 19:00,46.565,1,1,20,2022,19
2022-01-19 20:00,47.97,1,1,21,2022,19
2022-01-19 21:00,52.31583333,1,1,22,2022,19
2022-01-19 22:00,59.55416667,1,1,23,2022,19
2022-01-19 23:00,56.47083333,1,1,24,2022,19
2022-01-20 00:00,42.3225,1,1,1,2022,20
2022-01-20 01:00,23.81833333,1,1,2,2022,20
2022-01-20 02:00,6.625,1,1,3,2022,20
2022-01-20 03:00,6.206666667,1,1,4,2022,20
2022-01-20 04:00,24.3375,1,1,5,2022,20
2022-01-20 05:00,50.10166667,1,1,6,2022,20
2022-01-20 06:00,49.3075,1,1,7,2022,20
2022-01-20 07:00,56.4775,1,1,8,2022,20
2022-01-20 08:00,57.21583333,1,1,9,2022,20
2022-01-20 09:00,48.72833333,1,1,10,2022,20
2022-01-20 10:00,56.42083333,1,1,11,2022,20
2022-01-20 11:00,48.26083333,1,1,12,2022,20
2022-01-20 12:00,35.29916667,1,1,13,2022,20
2022-01-20 13:00,0.4275,1,1,14,2022,20
2022-01-20 14:00,53.78166667,1,1,15,2022,20
2022-01-20 15:00,59.2525,1,1,16,2022,20
2022-01-20 16:00,55.685,1,1,17,2022,20
2022-01-20 17:00,47.18666667,1,1,18,2022,20
2022-01-20 18:00,71.1225,1,1,19,2022,20
2022-01-20 19:00,70.63083333,1,1,20,2022,20
2022-01-20 20:00,58.76,1,1,21,2022,20
2022-01-20 21:00,56.4925,1,1,22,2022,20
2022-01-20 22:00,56.03833333,1,1,23,2022,20
2022-01-20 23:00,56.4375,1,1,24,2022,20
2022-01-21 00:00,57.28083333,1,1,1,2022,21
2022-01-21 01:00,52.28666667,1,1,2,2022,21
2022-01-21 02:00,48.26333333,1,1,3,2022,21
2022-01-21 03:00,48.13416667,1,1,4,2022,21
2022-01-21 04:00,54.50416667,1,1,5,2022,21
2022-01-21 05:00,55.52333333,1,1,6,2022,21
2022-01-21 06:00,51.4925,1,1,7,2022,21
2022-01-21 07:00,45.61916667,1,1,8,2022,21
2022-01-21 08:00,48.68666667,1,1,9,2022,21
2022-01-21 09:00,34.94333333,1,1,10,2022,21
2022-01-21 10:00,37.75666667,1,1,11,2022,21
2022-01-21 11:00,55.145,1,1,12,2022,21
2022-01-21 12:00,59.02166667,1,1,13,2022,21
2022-01-21 13:00,62.53916667,1,1,14,2022,21
2022-01-21 14:00,64.22583333,1,1,15,2022,21
2022-01-21 15:00,42.35583333,1,1,16,2022,21
2022-01-21 16:00,52.04166667,1,1,17,2022,21
2022-01-21 17:00,54.13,1,1,18,2022,21
